latitude,longitude
-69.041664,-83.708336
-69.041664,-81.208336
-69.01191,-78.73238
-68.72596,-76.32665
-68.51378,-73.76378
-68.22676,-71.22142
-68.52403,-69.07803
-69.37626,-30.469135
-69.041664,-28.708334
-69.041664,-26.208334
-69.041664,-23.708334
-69.041664,-21.208334
-69.041664,-18.708334
-69.041664,-16.208334
-69.041664,-13.708333
-68.98159,-11.25049
-68.75,-8.708333
-68.804344,-6.1991544
-68.83515,-3.7277172
-68.66399,-1.2683548
-68.7221,1.3245746
-68.75,3.7916667
-68.52422,6.262906
-68.53023,8.729738
-68.23764,11.167241
-68.35104,13.863533
-68.27704,16.262045
-68.54256,18.862461
-68.71674,21.34633
-68.75409,23.79287
-68.630646,26.199293
-68.49799,28.747496
-68.18421,30.899122
-68.333336,33.458336
-68.05362,36.78913
-68.191795,38.590965
-67.9974,40.57552
-68.68055,72.18056
-68.90833,73.49762
-69.196075,76.15196
-68.666664,77.583336
-67.833336,147.29166
-68.22222,152.04721
-68.22059,152.82843
-68.15235,156.69684
-68.43233,158.90381
-68.783356,161.37712
-68.77163,163.80922
-68.955795,166.31422
-69.029465,168.8005
-69.041664,171.29167
-69.041664,173.79167
-69.041664,176.29167
-69.041664,178.75
-66.541664,-178.70833
-66.541664,-176.20833
-66.541664,-173.70833
-66.541664,-171.20833
-66.541664,-168.70833
-66.541664,-166.20833
-66.541664,-163.70833
-66.541664,-161.20833
-66.541664,-158.70833
-66.541664,-156.20833
-66.541664,-153.70833
-66.541664,-151.20833
-66.541664,-148.70833
-66.541664,-146.20833
-66.541664,-143.70833
-66.541664,-141.20833
-66.541664,-138.70833
-66.541664,-136.20833
-66.541664,-133.70833
-66.541664,-131.20833
-66.541664,-128.70833
-66.541664,-126.208336
-66.541664,-123.708336
-66.541664,-121.208336
-66.541664,-118.708336
-66.541664,-116.208336
-66.541664,-113.708336
-66.541664,-111.208336
-66.541664,-108.708336
-66.541664,-106.208336
-66.541664,-103.708336
-66.541664,-101.208336
-66.541664,-98.708336
-66.541664,-96.208336
-66.541664,-93.708336
-66.541664,-91.208336
-66.541664,-88.708336
-66.541664,-86.208336
